article_name,country,revision_id,population,article_quality
Bybit Lydia Tsomondo,Zimbabwe,723082034,14,Stub
Kisinoti Mukwazhe,Zimbabwe,723353282,14,Stub
David Karimanzira,Zimbabwe,725242133,14,Stub
Sobusa Gula-Ndebele,Zimbabwe,726651867,14,Stub
Sylvester Nguni,Zimbabwe,726686195,14,Stub
Thamsanqa Mahlangu,Zimbabwe,726687480,14,Stub
Tichaona Mudzingwa,Zimbabwe,726687648,14,Stub
Murisi Zwizwai,Zimbabwe,726687669,14,Stub
Samuel Undenge,Zimbabwe,726688144,14,Stub
Reuben Marumahoko,Zimbabwe,726688205,14,Stub
Simon Khaya-Moyo,Zimbabwe,730764918,14,Stub
"List of candidates in the Zimbabwean parliamentary election, 2013",Zimbabwe,735498335,14,B
Jevan Maseko,Zimbabwe,736911246,14,Stub
Munacho Mutezo,Zimbabwe,738729779,14,Stub
Sesel Zvidzai,Zimbabwe,738810400,14,Stub
Samuel Sipepa Nkomo,Zimbabwe,738992625,14,Stub
Faber Chidarikire,Zimbabwe,738992871,14,Start
Willard Chiwewe,Zimbabwe,738992910,14,Stub
Martin Dinha,Zimbabwe,738992918,14,Stub
Herbert Ushewokunze,Zimbabwe,739137894,14,Stub
Nyasha Chikwinya,Zimbabwe,742899761,14,Start
Naomi Nhiwatiwa,Zimbabwe,743971092,14,Start
Bright Matonga,Zimbabwe,744753863,14,Stub
Thokozani Khuphe,Zimbabwe,747274193,14,Start
Border Gezi,Zimbabwe,748061603,14,Start
Rugare Gumbo,Zimbabwe,749496266,14,Start
George Nyandoro,Zimbabwe,750224976,14,Start
Paul Chimedza,Zimbabwe,750428952,14,Stub
Gorden Moyo,Zimbabwe,750974704,14,Stub
Daniel Shumba,Zimbabwe,753294248,14,Start
Douglas Mombeshora,Zimbabwe,755110125,14,Stub
Munyaradzi Gwisai,Zimbabwe,755337199,14,Start
Olivia Muchena,Zimbabwe,757616307,14,Start
Paurine Mpariwa,Zimbabwe,757616437,14,Stub
Sithembiso Nyoni,Zimbabwe,757617613,14,Stub
Earnest Mudzengi,Zimbabwe,757796569,14,Stub
Gift Banda,Zimbabwe,758442662,14,Stub
Wilson Kumbula,Zimbabwe,759330558,14,Stub
Paurina Mpariwa,Zimbabwe,760532029,14,Stub
Flora Buka,Zimbabwe,762630896,14,Stub
Elliot Manyika,Zimbabwe,763330074,14,Start
Diana Mitchell,Zimbabwe,764299725,14,Start
Maurice Nyagumbo,Zimbabwe,764826793,14,Start
Josiah Zion Gumede,Zimbabwe,765095810,14,Start
